name,cost,value,requires
Let's Pump Some Iron!,120,1.93,
Louder! Tracen Cheer!,140,0.86,
Slick Surge,180,1.16,
On Your Left! (gold),342,0.79,Slick Surge
Sprinting Gear,128,1.02,
Nimble Navigator,150,0.75,
No Stopping Me! (gold),285,0.69,Nimble Navigator
Ignited Spirit GUTS,180,0.48,
Ignited Spirit SPD,120,0.25,
Burning Spirit SPD (gold),260,0.29,Ignited Spirit SPD
Firm Conditions ○,63,0.24,
Firm Conditions ◎,140,0.11,Firm Conditions ○
Firm Course Menace (gold),257,0.21,Firm Conditions ◎
Corner Adept ○,180,0.23,
Professor of Curvature (gold),360,0.34,Corner Adept ○
Ramp Up,170,0.16,
It's On! (gold),306,0.20,Ramp Up
Playtime's Over!,144,0.25,
Hesitant Late Surgers,91,0.22,
Straightaway Acceleration,153,0.16,
Right-Handed ○,63,0.14,
Summer Runner ○,63,0.14,
